EOC (End-of-Content),P,0,0
BOOLEAN,P,1,1
INTEGER,P,2,2
BIT STRING,P/C,3,3
OCTET STRING,P/C,4,4
NULL,P,5,5
OBJECT IDENTIFIER,P,6,6
Object Descriptor,P/C,7,7
EXTERNAL,C,8,8
REAL (float),P,9,9
ENUMERATED,P,10,A
EMBEDDED PDV,C,11,B
UTF8String,P/C,12,C
RELATIVE-OID,P,13,D
(reserved),-,14,E
(reserved),-,15,F
SEQUENCE and SEQUENCE OF,C,16,10
SET and SET OF,C,17,11
NumericString,P/C,18,12
PrintableString,P/C,19,13
T61String,P/C,20,14
VideotexString,P/C,21,15
IA5String,P/C,22,16
UTCTime,P/C,23,17
GeneralizedTime,P/C,24,18
GraphicString,P/C,25,19
VisibleString,P/C,26,1A
GeneralString,P/C,27,1B
UniversalString,P/C,28,1C
CHARACTER STRING,P/C,29,1D
BMPString,P/C,30,1E
(use long-form),-,31,1F